Ticker,MSE,MAE,R2_Score
ACB,0.0,0.000445,0.732389
POW,0.0,0.000252,0.866249
SSB,0.0,0.000299,0.896907
SHB,0.0,0.000363,0.696854
VIB,0.0,0.000388,0.839373
TPB,0.0,0.000442,0.653725
HPG,1e-06,0.000729,0.336564
SAB,1e-06,0.000729,0.812543
SSI,2e-06,0.001103,0.708395
VNM,2e-06,0.001117,0.885442
VRE,2e-06,0.000986,0.830583
VPB,2e-06,0.001087,0.619958
HDB,2e-06,0.001329,0.533201
CTG,2e-06,0.00105,0.661464
GVR,2e-06,0.000947,0.905222
MBB,2e-06,0.001239,0.49343
TCB,3e-06,0.001544,0.257402
PLX,3e-06,0.000982,0.959223
BCM,4e-06,0.001203,0.671941
BID,4e-06,0.001295,0.843989
MSN,5e-06,0.001609,0.51606
VCB,5e-06,0.001488,0.770205
FPT,9e-06,0.002368,0.545414
MWG,1.1e-05,0.002941,0.742154
STB,1.3e-05,0.003176,0.435387
BVH,1.3e-05,0.002386,0.856492
VHM,3.4e-05,0.004474,0.750278
GAS,3.7e-05,0.003407,0.89827
VIC,4.8e-05,0.004981,0.967843
VJC,0.000189,0.011675,0.754665
