Ticker,MSE,MAE,R2_Score
ACB,0.0,0.0004,0.807
BCM,0.0,0.0012,0.6803
BID,0.0,0.001,0.8983
BVH,0.0,0.0016,0.9389
CTG,0.0,0.0008,0.7594
FPT,0.0,0.0023,0.6158
GVR,0.0,0.0009,0.9088
HDB,0.0,0.0013,0.545
MWG,0.0,0.0017,0.8941
HPG,0.0,0.0006,0.3816
MBB,0.0,0.0008,0.7492
MSN,0.0,0.0015,0.5969
POW,0.0,0.0003,0.8469
PLX,0.0,0.001,0.9523
SAB,0.0,0.0007,0.8358
SHB,0.0,0.0005,0.4594
VRE,0.0,0.0009,0.854
SSB,0.0,0.0003,0.9004
SSI,0.0,0.0021,0.1772
STB,0.0,0.0018,0.7584
TCB,0.0,0.0009,0.6872
TPB,0.0,0.0006,0.5347
VCB,0.0,0.0012,0.8414
VIB,0.0,0.0004,0.8677
VPB,0.0,0.0012,0.524
VNM,0.0,0.001,0.9038
GAS,0.0001,0.0041,0.8467
VHM,0.0001,0.0078,0.1835
VIC,0.0005,0.0164,0.6471
VJC,0.0007,0.0233,0.0372
