time,open,high,low,close,volume
2023-01-03 07:00:00,28.51,29.89,28.33,29.89,1732900
2023-01-04 07:00:00,29.89,30.61,29.31,29.6,2070300
2023-01-05 07:00:00,29.74,29.81,29.2,29.56,1175100
2023-01-06 07:00:00,29.56,30.79,29.45,30.21,3400900
2023-01-09 07:00:00,30.61,30.61,29.63,29.74,1326400
2023-01-10 07:00:00,30.18,30.25,29.56,29.96,924000
2023-01-11 07:00:00,30.18,30.61,29.67,29.92,1531300
2023-01-12 07:00:00,29.99,30.43,29.74,30.07,708200
2023-01-13 07:00:00,30.18,30.61,30.18,30.32,1630000
2023-01-16 07:00:00,30.47,32.42,30.43,32.42,4737900
2023-01-17 07:00:00,32.64,32.86,32.35,32.61,1499200
2023-01-18 07:00:00,32.57,33.04,32.5,32.71,1832900
2023-01-19 07:00:00,32.71,33.59,32.61,33.33,1656800
2023-01-27 07:00:00,33.73,33.8,32.28,32.32,1729800
2023-01-30 07:00:00,31.92,32.57,31.92,32.28,1210300
2023-01-31 07:00:00,32.1,32.71,31.59,32.71,1643500
2023-02-01 07:00:00,32.9,33.0,30.9,31.05,2510500
2023-02-02 07:00:00,31.01,31.63,30.54,31.3,2864500
2023-02-03 07:00:00,31.55,31.77,31.3,31.45,1377900
2023-02-06 07:00:00,31.41,32.64,31.12,32.64,1747200
2023-02-07 07:00:00,32.64,32.9,31.7,31.77,1568300
2023-02-08 07:00:00,31.84,32.82,31.84,32.28,1796700
2023-02-09 07:00:00,32.28,32.64,31.92,31.92,1184800
2023-02-10 07:00:00,32.21,32.32,31.16,31.16,1398000
2023-02-13 07:00:00,31.16,32.21,31.16,32.21,1589700
2023-02-14 07:00:00,32.28,32.28,31.41,31.48,1325100
2023-02-15 07:00:00,31.3,32.24,31.3,31.92,604600
2023-02-16 07:00:00,32.42,32.64,31.92,32.64,1068100
2023-02-17 07:00:00,32.64,33.22,32.61,33.22,1493700
2023-02-20 07:00:00,33.22,34.35,33.22,34.24,1508300
2023-02-21 07:00:00,34.24,34.31,33.55,33.55,996600
2023-02-22 07:00:00,33.26,33.37,32.64,32.64,994100
2023-02-23 07:00:00,32.61,33.04,31.7,33.04,1279900
2023-02-24 07:00:00,32.68,33.04,32.21,32.35,497900
2023-02-27 07:00:00,32.28,32.28,31.63,32.1,939200
2023-02-28 07:00:00,32.1,32.35,31.95,31.99,257600
2023-03-01 07:00:00,31.92,33.11,31.77,33.11,740900
2023-03-02 07:00:00,33.11,33.73,32.93,33.66,976200
2023-03-03 07:00:00,33.66,33.73,32.82,33.3,735400
2023-03-06 07:00:00,33.3,34.09,32.86,33.22,864900
2023-03-07 07:00:00,33.0,34.17,33.0,34.02,1634600
2023-03-08 07:00:00,33.66,34.82,33.3,34.82,1229700
2023-03-09 07:00:00,34.82,34.82,34.13,34.56,1170600
2023-03-10 07:00:00,34.42,34.42,34.06,34.2,862200
2023-03-13 07:00:00,33.8,34.02,33.55,33.55,933700
2023-03-14 07:00:00,33.44,33.62,32.46,32.68,1444500
2023-03-15 07:00:00,33.37,34.38,32.97,33.95,628400
2023-03-16 07:00:00,33.4,34.02,33.4,33.55,875700
2023-03-17 07:00:00,34.09,34.09,33.37,33.59,310700
2023-03-20 07:00:00,33.37,33.37,32.64,32.9,585800
2023-03-21 07:00:00,32.93,33.19,32.5,32.9,741600
2023-03-22 07:00:00,33.19,33.51,32.97,33.44,560800
2023-03-23 07:00:00,32.86,33.37,32.86,33.3,414900
2023-03-24 07:00:00,33.3,33.59,33.0,33.04,364600
2023-03-27 07:00:00,33.04,33.48,32.64,33.37,672200
2023-03-28 07:00:00,33.73,33.95,33.37,33.37,504000
2023-03-29 07:00:00,33.37,33.62,33.04,33.51,303100
2023-03-30 07:00:00,33.55,33.8,33.51,33.51,699700
2023-03-31 07:00:00,33.51,34.09,33.4,33.51,643700
