time,open,high,low,close,volume
2023-01-03 07:00:00,43.63,44.66,43.49,44.62,270500
2023-01-04 07:00:00,44.8,44.9,44.43,44.62,507200
2023-01-05 07:00:00,44.9,45.27,44.76,44.94,285300
2023-01-06 07:00:00,45.27,45.6,44.8,44.94,493200
2023-01-09 07:00:00,44.99,45.46,44.76,44.8,187700
2023-01-10 07:00:00,44.9,44.99,44.43,44.9,274300
2023-01-11 07:00:00,45.27,45.65,44.9,45.46,523900
2023-01-12 07:00:00,45.74,46.21,45.46,45.93,457000
2023-01-13 07:00:00,46.11,46.3,45.69,45.74,293700
2023-01-16 07:00:00,45.74,45.93,45.04,45.04,282600
2023-01-17 07:00:00,45.08,45.6,45.04,45.46,442500
2023-01-18 07:00:00,45.55,45.79,45.08,45.27,495300
2023-01-19 07:00:00,45.27,46.77,45.22,46.67,1090600
2023-01-27 07:00:00,46.72,48.26,46.72,47.7,711400
2023-01-30 07:00:00,47.61,48.17,46.96,47.24,636800
2023-01-31 07:00:00,47.24,47.24,46.39,47.14,669200
2023-02-01 07:00:00,47.24,48.45,46.39,46.77,1368300
2023-02-02 07:00:00,47.24,47.33,45.74,46.72,414900
2023-02-03 07:00:00,46.77,47.24,45.93,46.49,471600
2023-02-06 07:00:00,46.53,47.33,46.02,47.33,593700
2023-02-07 07:00:00,47.14,47.61,46.02,46.02,466700
2023-02-08 07:00:00,46.07,46.86,45.93,46.07,481300
2023-02-09 07:00:00,46.3,46.77,46.07,46.16,153200
2023-02-10 07:00:00,46.39,46.96,45.88,46.58,560400
2023-02-13 07:00:00,46.58,46.58,45.37,45.37,359400
2023-02-14 07:00:00,46.02,46.21,45.65,45.93,181300
2023-02-15 07:00:00,45.93,46.53,45.83,46.21,162100
2023-02-16 07:00:00,46.39,47.14,46.11,46.86,402600
2023-02-17 07:00:00,46.86,47.89,46.72,47.14,761500
2023-02-20 07:00:00,47.7,47.89,47.24,47.89,569400
2023-02-21 07:00:00,48.08,48.08,47.14,47.24,375400
2023-02-22 07:00:00,46.77,47.89,46.77,46.77,445900
2023-02-23 07:00:00,46.77,46.77,45.83,46.39,463700
2023-02-24 07:00:00,46.58,46.58,45.74,45.74,240200
2023-02-27 07:00:00,45.69,45.69,44.99,45.08,392900
2023-02-28 07:00:00,45.13,45.83,45.08,45.37,163900
2023-03-01 07:00:00,45.41,46.3,45.08,46.25,243700
2023-03-02 07:00:00,46.25,46.25,45.83,45.83,122200
2023-03-03 07:00:00,46.25,46.3,45.32,45.32,176000
2023-03-06 07:00:00,45.51,45.74,44.9,44.9,180300
2023-03-07 07:00:00,45.13,45.83,45.04,45.18,185900
2023-03-08 07:00:00,45.18,45.83,45.04,45.83,155600
2023-03-09 07:00:00,45.93,46.3,45.6,46.25,222500
2023-03-10 07:00:00,46.02,46.02,45.46,46.02,112400
2023-03-13 07:00:00,45.83,46.49,45.27,46.3,489100
2023-03-14 07:00:00,46.11,46.21,45.55,45.55,160200
2023-03-15 07:00:00,46.3,46.3,45.65,46.11,338900
2023-03-16 07:00:00,46.07,46.11,45.37,45.46,117400
2023-03-17 07:00:00,45.83,46.77,45.32,46.77,844700
2023-03-20 07:00:00,46.77,46.77,45.74,45.83,323900
2023-03-21 07:00:00,45.88,46.21,45.55,45.83,211800
2023-03-22 07:00:00,46.16,46.16,45.6,45.83,193400
2023-03-23 07:00:00,45.65,45.83,45.37,45.74,199400
2023-03-24 07:00:00,45.74,45.83,44.9,45.37,296600
2023-03-27 07:00:00,45.37,45.55,45.13,45.37,278100
2023-03-28 07:00:00,45.37,45.83,45.37,45.37,175600
2023-03-29 07:00:00,45.55,45.55,45.04,45.18,193800
2023-03-30 07:00:00,45.18,45.46,45.18,45.32,114200
2023-03-31 07:00:00,45.37,45.51,45.27,45.32,144100
2023-04-03 07:00:00,45.46,45.83,45.46,45.83,275500
2023-04-04 07:00:00,46.11,46.11,45.6,46.02,174800
2023-04-05 07:00:00,46.02,46.11,45.65,45.88,182500
2023-04-06 07:00:00,46.21,46.21,45.37,45.37,239000
2023-04-07 07:00:00,45.37,45.51,45.22,45.37,192800
2023-04-10 07:00:00,45.51,45.83,45.32,45.74,225700
2023-04-11 07:00:00,45.55,45.97,45.41,45.97,155600
2023-04-12 07:00:00,46.07,46.07,45.37,45.37,260600
2023-04-13 07:00:00,45.37,45.46,45.27,45.27,222000
2023-04-14 07:00:00,45.37,45.41,44.9,44.9,358600
2023-04-17 07:00:00,44.99,45.04,44.15,44.15,439600
2023-04-18 07:00:00,44.9,44.9,43.87,43.96,235000
2023-04-19 07:00:00,44.06,44.06,43.17,43.17,365600
2023-04-20 07:00:00,43.4,44.29,43.4,43.96,220500
2023-04-21 07:00:00,44.24,44.24,43.45,43.82,236500
2023-04-24 07:00:00,43.87,43.87,43.35,43.4,146100
2023-04-25 07:00:00,43.4,43.49,42.65,42.65,277300
2023-04-26 07:00:00,42.65,42.93,42.09,42.89,362800
2023-04-27 07:00:00,42.93,43.26,41.95,41.95,556400
2023-04-28 07:00:00,42.0,42.51,41.95,42.0,267600
2023-05-04 07:00:00,42.0,42.79,42.0,42.33,297700
2023-05-05 07:00:00,42.33,43.26,42.33,42.93,309100
2023-05-08 07:00:00,42.93,43.26,42.84,43.03,298000
2023-05-09 07:00:00,43.35,43.35,42.98,43.03,224100
2023-05-10 07:00:00,43.26,43.26,42.84,42.98,319800
2023-05-11 07:00:00,43.03,43.26,42.65,42.75,469200
2023-05-12 07:00:00,42.79,43.03,42.14,43.03,627500
2023-05-15 07:00:00,43.03,43.45,42.51,42.56,600100
2023-05-16 07:00:00,42.56,42.98,42.28,42.37,277600
2023-05-17 07:00:00,42.37,42.47,42.14,42.14,332100
2023-05-18 07:00:00,42.28,42.37,41.9,41.9,625800
2023-05-19 07:00:00,42.04,42.47,41.44,41.44,640100
2023-05-22 07:00:00,41.44,41.62,40.97,40.97,1040500
2023-05-23 07:00:00,40.97,41.72,40.97,41.72,830100
2023-05-24 07:00:00,41.9,42.23,41.58,41.58,479800
2023-05-25 07:00:00,41.53,41.76,41.16,41.25,383500
2023-05-26 07:00:00,41.16,41.62,40.69,40.74,974300
2023-05-29 07:00:00,41.02,41.3,40.69,41.11,552200
2023-05-30 07:00:00,41.25,41.53,40.88,40.97,570800
2023-05-31 07:00:00,40.97,41.11,40.69,40.69,674400
2023-06-01 07:00:00,40.69,41.06,40.59,40.83,431900
2023-06-02 07:00:00,41.06,41.44,41.06,41.25,1094200
2023-06-05 07:00:00,41.81,42.14,41.58,41.62,950500
2023-06-06 07:00:00,41.67,42.28,41.67,42.04,1196500
2023-06-07 07:00:00,42.09,42.23,41.62,41.76,592800
2023-06-08 07:00:00,41.81,42.09,41.25,41.25,840200
2023-06-09 07:00:00,41.16,41.3,40.83,40.97,687400
2023-06-12 07:00:00,40.88,41.62,40.88,41.62,926000
2023-06-13 07:00:00,42.0,42.75,41.9,42.09,1766400
2023-06-14 07:00:00,42.14,42.56,41.62,41.72,885500
2023-06-15 07:00:00,41.86,41.95,41.3,41.53,855600
2023-06-16 07:00:00,41.76,42.14,41.2,41.2,978600
2023-06-19 07:00:00,41.16,41.34,40.83,40.88,717400
2023-06-20 07:00:00,40.88,41.16,40.69,41.16,644200
2023-06-21 07:00:00,41.2,41.34,40.83,41.3,661500
2023-06-22 07:00:00,41.58,41.58,41.06,41.3,1121500
2023-06-23 07:00:00,41.44,42.18,41.39,42.18,1823700
2023-06-26 07:00:00,42.37,42.61,41.72,42.33,1300200
2023-06-27 07:00:00,42.65,42.98,42.28,42.37,1275900
2023-06-28 07:00:00,42.23,42.84,42.14,42.23,721800
2023-06-29 07:00:00,42.33,42.33,41.44,41.44,1112400
2023-06-30 07:00:00,41.53,41.53,41.2,41.25,788100
2023-07-03 07:00:00,41.53,41.81,41.34,41.62,498300
2023-07-04 07:00:00,41.72,42.14,41.58,42.14,878000
2023-07-05 07:00:00,42.14,42.18,41.9,41.9,533500
2023-07-06 07:00:00,41.9,42.65,41.9,42.09,1982700
2023-07-07 07:00:00,42.33,42.42,41.9,42.33,678800
2023-07-10 07:00:00,42.56,42.7,42.37,42.65,1178700
2023-07-11 07:00:00,42.84,42.84,42.42,42.56,1394000
2023-07-12 07:00:00,42.65,44.34,42.61,43.82,1971300
2023-07-13 07:00:00,44.34,44.43,43.82,43.96,1043400
2023-07-14 07:00:00,44.01,44.15,43.31,43.78,1475500
2023-07-17 07:00:00,43.96,44.24,43.45,44.24,977000
2023-07-18 07:00:00,44.24,44.71,43.96,44.01,776300
2023-07-19 07:00:00,44.01,44.15,43.73,43.87,789800
2023-07-20 07:00:00,43.68,43.96,43.54,43.78,574500
2023-07-21 07:00:00,43.92,44.9,43.82,44.43,1428700
2023-07-24 07:00:00,44.62,44.76,44.06,44.2,878800
2023-07-25 07:00:00,44.2,44.2,43.54,43.87,1215300
2023-07-26 07:00:00,43.87,44.1,43.59,43.63,844800
2023-07-27 07:00:00,43.68,44.06,43.4,43.54,874200
2023-07-28 07:00:00,43.4,43.82,43.35,43.63,666900
2023-07-31 07:00:00,44.06,45.27,44.06,45.04,1958900
2023-08-01 07:00:00,45.22,45.27,44.2,44.2,1367100
2023-08-02 07:00:00,44.24,45.04,43.87,44.76,1143800
2023-08-03 07:00:00,44.76,44.9,44.15,44.24,861800
2023-08-04 07:00:00,44.43,44.48,44.01,44.06,1064100
2023-08-07 07:00:00,44.2,44.9,44.1,44.9,1313900
2023-08-08 07:00:00,45.08,45.13,44.43,44.48,991500
2023-08-09 07:00:00,44.66,44.66,44.24,44.34,674700
2023-08-10 07:00:00,44.62,44.8,43.96,43.96,620000
2023-08-11 07:00:00,44.01,44.1,43.45,43.68,1076900
2023-08-14 07:00:00,43.92,44.15,43.63,43.87,597700
2023-08-15 07:00:00,43.87,44.9,43.78,44.15,524100
2023-08-16 07:00:00,44.01,44.15,43.78,43.87,530200
2023-08-17 07:00:00,43.82,43.87,43.49,43.49,676700
2023-08-18 07:00:00,43.49,43.78,41.34,41.34,1903200
2023-08-21 07:00:00,41.34,42.14,41.11,41.72,1025700
2023-08-22 07:00:00,41.76,42.51,41.53,42.47,943900
2023-08-23 07:00:00,42.56,42.65,42.04,42.56,455600
2023-08-24 07:00:00,42.14,42.56,42.14,42.47,361100
2023-08-25 07:00:00,42.56,42.56,41.95,42.0,540700
2023-08-28 07:00:00,42.0,42.18,41.76,42.0,591800
2023-08-29 07:00:00,42.04,42.51,41.9,41.9,737800
2023-08-30 07:00:00,42.09,42.28,41.95,42.14,453400
2023-08-31 07:00:00,42.18,42.47,42.14,42.28,1098600
2023-09-05 07:00:00,42.37,42.93,42.37,42.51,731700
2023-09-06 07:00:00,42.75,42.79,42.42,42.7,580800
2023-09-07 07:00:00,42.84,43.03,42.56,42.79,1010400
2023-09-08 07:00:00,42.79,43.03,42.61,42.7,437900
2023-09-11 07:00:00,42.75,43.4,42.56,42.56,921000
2023-09-12 07:00:00,42.56,42.84,42.47,42.84,456800
2023-09-13 07:00:00,42.98,43.07,42.56,42.61,805400
2023-09-14 07:00:00,42.61,42.65,41.95,42.28,670400
2023-09-15 07:00:00,42.28,42.56,42.0,42.0,600500
2023-09-18 07:00:00,42.0,42.28,41.62,41.9,541800
2023-09-19 07:00:00,41.95,42.0,40.92,41.2,1740500
