time,open,high,low,close,volume
2023-01-03 07:00:00,9.3,9.74,9.3,9.74,7538000
2023-01-04 07:00:00,9.79,9.87,9.71,9.71,7750200
2023-01-05 07:00:00,9.74,9.87,9.63,9.84,7746900
2023-01-06 07:00:00,9.76,10.14,9.74,9.87,10917100
2023-01-09 07:00:00,10.01,10.01,9.84,9.87,5950900
2023-01-10 07:00:00,9.84,9.92,9.79,9.84,6400600
2023-01-11 07:00:00,9.87,9.98,9.84,9.87,6466400
2023-01-12 07:00:00,9.9,9.95,9.82,9.87,7333700
2023-01-13 07:00:00,9.95,10.03,9.87,9.87,7999500
2023-01-16 07:00:00,9.9,10.03,9.84,10.01,6246800
2023-01-17 07:00:00,10.11,10.49,10.06,10.49,18897600
2023-01-18 07:00:00,10.55,10.57,10.38,10.57,9911300
2023-01-19 07:00:00,10.55,10.68,10.49,10.6,11064200
2023-01-27 07:00:00,10.76,10.87,10.63,10.65,9203700
2023-01-30 07:00:00,10.71,10.71,10.41,10.41,12664300
2023-01-31 07:00:00,10.38,10.57,10.14,10.57,14967100
2023-02-01 07:00:00,10.65,10.79,10.22,10.22,15740700
2023-02-02 07:00:00,10.33,10.33,10.03,10.25,12208800
2023-02-03 07:00:00,10.25,10.33,10.06,10.06,10022600
2023-02-06 07:00:00,10.06,10.22,10.01,10.11,6636500
2023-02-07 07:00:00,10.19,10.19,9.92,9.92,7675200
2023-02-08 07:00:00,10.01,10.11,9.87,9.95,5590000
2023-02-09 07:00:00,9.95,10.11,9.92,9.98,6332800
2023-02-10 07:00:00,10.03,10.06,9.9,9.9,5991700
2023-02-13 07:00:00,9.84,9.84,9.6,9.74,9869700
2023-02-14 07:00:00,9.74,9.82,9.63,9.65,6596300
2023-02-15 07:00:00,9.6,9.87,9.6,9.74,6518300
2023-02-16 07:00:00,9.79,9.92,9.76,9.87,4742200
2023-02-17 07:00:00,9.87,9.95,9.79,9.79,4793200
2023-02-20 07:00:00,9.79,10.22,9.79,10.22,8602000
2023-02-21 07:00:00,10.28,10.33,10.06,10.06,6951800
2023-02-22 07:00:00,9.95,10.01,9.87,9.87,9875600
2023-02-23 07:00:00,9.74,9.84,9.57,9.82,16330000
2023-02-24 07:00:00,9.82,9.87,9.57,9.57,10072300
2023-02-27 07:00:00,9.44,9.46,9.33,9.33,8046000
2023-02-28 07:00:00,9.38,9.55,9.28,9.33,6163100
2023-03-01 07:00:00,9.28,9.55,9.19,9.55,6320200
2023-03-02 07:00:00,9.55,9.57,9.38,9.41,3836100
2023-03-03 07:00:00,9.46,9.46,9.28,9.28,4741300
2023-03-06 07:00:00,9.41,9.57,9.36,9.36,6831800
2023-03-07 07:00:00,9.41,9.52,9.38,9.41,6173500
2023-03-08 07:00:00,9.36,9.52,9.3,9.52,7409200
2023-03-09 07:00:00,9.55,9.71,9.52,9.63,8058600
2023-03-10 07:00:00,9.63,9.63,9.52,9.6,5294100
2023-03-13 07:00:00,9.38,9.52,9.38,9.46,8529600
2023-03-14 07:00:00,9.46,9.49,9.3,9.3,8471100
