time,open,high,low,close,volume
2023-01-03 07:00:00,24.16,24.53,24.13,24.42,1011200
2023-01-04 07:00:00,24.46,24.6,24.35,24.57,1114600
2023-01-05 07:00:00,24.6,24.75,24.49,24.68,915000
2023-01-06 07:00:00,24.68,24.82,24.57,24.75,1102400
2023-01-09 07:00:00,24.79,24.9,24.68,24.75,1007100
2023-01-10 07:00:00,24.75,24.82,24.57,24.71,974500
2023-01-11 07:00:00,24.71,24.86,24.64,24.79,1129100
2023-01-12 07:00:00,24.75,24.75,24.6,24.75,947700
2023-01-13 07:00:00,24.75,24.86,24.64,24.75,1061200
2023-01-16 07:00:00,24.79,24.82,24.6,24.82,1010000
2023-01-17 07:00:00,24.86,24.93,24.79,24.82,1042400
2023-01-18 07:00:00,24.82,24.93,24.75,24.86,1117200
2023-01-19 07:00:00,24.86,24.93,24.75,24.9,1073700
2023-01-27 07:00:00,24.93,25.12,24.9,24.97,1099200
2023-01-30 07:00:00,24.97,25.01,24.75,24.82,1121600
2023-01-31 07:00:00,24.82,24.82,24.64,24.79,1231300
2023-02-01 07:00:00,24.82,24.9,24.6,24.6,1032000
2023-02-02 07:00:00,24.6,24.68,24.46,24.53,1002500
2023-02-03 07:00:00,24.46,24.53,23.32,23.32,1200000
2023-02-06 07:00:00,23.39,23.39,23.17,23.36,1005000
2023-02-07 07:00:00,23.36,23.47,23.17,23.43,1033800
2023-02-08 07:00:00,23.43,23.65,23.36,23.47,1024800
2023-02-09 07:00:00,23.47,23.61,23.43,23.47,1000800
2023-02-10 07:00:00,23.5,23.54,23.36,23.43,931300
2023-02-13 07:00:00,23.43,23.47,23.25,23.28,909300
2023-02-14 07:00:00,23.25,23.39,23.17,23.25,901300
2023-02-15 07:00:00,23.25,23.43,23.25,23.36,968400
2023-02-16 07:00:00,23.39,23.47,23.32,23.43,918300
2023-02-17 07:00:00,23.43,23.5,23.32,23.43,893900
2023-02-20 07:00:00,23.43,23.69,23.43,23.69,938300
2023-02-21 07:00:00,23.69,23.76,23.58,23.65,1018000
2023-02-22 07:00:00,23.61,23.65,23.39,23.39,964900
2023-02-23 07:00:00,23.39,23.43,23.06,23.32,1094700
2023-02-24 07:00:00,23.36,23.39,22.88,23.17,973100
2023-02-27 07:00:00,23.17,23.21,22.88,23.1,886900
2023-02-28 07:00:00,23.14,23.28,23.1,23.28,877100
2023-03-01 07:00:00,23.28,23.54,23.14,23.5,900500
2023-03-02 07:00:00,23.5,23.58,23.36,23.47,918300
2023-03-03 07:00:00,23.47,23.58,23.17,23.43,869300
2023-03-06 07:00:00,23.47,23.72,23.47,23.58,934700
2023-03-07 07:00:00,23.58,23.83,23.58,23.76,929500
2023-03-08 07:00:00,23.69,23.83,23.5,23.83,876700
2023-03-09 07:00:00,23.87,23.94,23.61,23.91,1013600
2023-03-10 07:00:00,23.91,23.91,23.54,23.76,990100
2023-03-13 07:00:00,23.65,23.76,23.54,23.76,945900
2023-03-14 07:00:00,23.76,23.76,23.36,23.69,971100
2023-03-15 07:00:00,23.72,23.87,23.72,23.87,905300
2023-03-16 07:00:00,23.83,23.87,23.47,23.61,916700
2023-03-17 07:00:00,23.69,23.76,23.5,23.65,891700
2023-03-20 07:00:00,23.65,23.65,23.1,23.54,953400
2023-03-21 07:00:00,23.58,23.65,23.03,23.58,982200
2023-03-22 07:00:00,23.61,23.65,23.17,23.58,921700
2023-03-23 07:00:00,23.54,23.58,23.14,23.58,951700
2023-03-24 07:00:00,23.58,23.61,23.14,23.25,820100
2023-03-27 07:00:00,23.28,23.28,23.03,23.25,816800
2023-03-28 07:00:00,23.25,23.25,22.99,23.1,754400
2023-03-29 07:00:00,23.1,23.14,22.88,23.03,756500
2023-03-30 07:00:00,23.03,23.06,22.84,23.06,871900
2023-03-31 07:00:00,23.06,23.1,22.84,23.06,865100
2023-04-03 07:00:00,23.06,23.17,22.92,23.17,892700
2023-04-04 07:00:00,23.17,23.21,22.95,23.1,819200
2023-04-05 07:00:00,23.06,23.14,22.88,23.14,929500
2023-04-06 07:00:00,23.14,23.14,22.88,22.99,1017300
2023-04-07 07:00:00,22.99,22.99,22.81,22.95,831300
2023-04-10 07:00:00,22.95,23.03,22.84,22.95,787500
2023-04-11 07:00:00,22.84,22.99,22.77,22.99,825600
2023-04-12 07:00:00,22.99,22.99,22.81,22.99,862400
2023-04-13 07:00:00,22.99,22.99,22.81,22.99,835500
2023-04-14 07:00:00,22.95,22.99,22.81,22.95,806100
2023-04-17 07:00:00,22.92,22.99,22.84,22.99,726500
2023-04-18 07:00:00,22.99,22.99,22.81,22.92,833300
2023-04-19 07:00:00,22.92,22.95,22.81,22.84,746100
2023-04-20 07:00:00,22.88,22.88,22.73,22.88,715400
2023-04-21 07:00:00,22.88,22.92,22.73,22.81,776300
2023-04-24 07:00:00,22.81,22.84,22.62,22.81,763100
2023-04-25 07:00:00,22.81,22.81,22.59,22.62,631600
2023-04-26 07:00:00,22.62,22.62,22.26,22.29,579600
2023-04-27 07:00:00,22.33,22.44,22.18,22.44,845000
2023-04-28 07:00:00,22.44,23.43,22.44,23.43,945800
2023-05-04 07:00:00,23.39,23.39,22.99,23.06,623200
2023-05-05 07:00:00,23.06,23.1,22.92,23.06,538100
2023-05-08 07:00:00,23.1,23.21,23.06,23.14,624700
2023-05-09 07:00:00,23.14,23.28,23.03,23.14,666100
2023-05-10 07:00:00,23.14,23.17,23.03,23.03,449100
2023-05-11 07:00:00,23.03,23.06,22.88,22.88,520900
2023-05-12 07:00:00,22.88,22.88,22.66,22.73,544000
2023-05-15 07:00:00,22.77,22.88,22.59,22.59,487300
2023-05-16 07:00:00,22.59,22.62,22.26,22.26,511600
2023-05-17 07:00:00,22.22,22.26,22.04,22.04,559000
2023-05-18 07:00:00,22.04,22.04,21.82,22.04,649600
2023-05-19 07:00:00,22.04,22.04,21.85,21.96,540100
2023-05-22 07:00:00,21.96,22.11,21.93,22.11,560100
2023-05-23 07:00:00,22.11,22.18,21.93,22.0,528500
2023-05-24 07:00:00,22.04,22.07,21.89,21.93,488500
2023-05-25 07:00:00,21.89,21.96,21.74,21.93,620900
2023-05-26 07:00:00,21.96,22.07,21.93,22.04,580000
2023-05-29 07:00:00,22.04,22.29,22.04,22.15,511600
2023-05-30 07:00:00,22.18,22.22,21.96,22.15,546700
2023-05-31 07:00:00,22.15,22.26,22.04,22.26,537000
2023-06-01 07:00:00,22.29,22.44,22.26,22.4,611400
2023-06-02 07:00:00,22.48,22.95,22.48,22.95,591400
2023-06-05 07:00:00,22.99,23.17,22.99,23.1,498000
2023-06-06 07:00:00,23.1,23.21,22.99,23.14,608900
2023-06-07 07:00:00,23.17,23.21,22.99,23.17,531900
2023-06-08 07:00:00,23.21,23.25,22.95,23.03,525900
2023-06-09 07:00:00,23.03,23.1,22.92,22.99,693800
2023-06-12 07:00:00,23.03,23.17,22.92,23.14,444800
2023-06-13 07:00:00,23.14,23.47,23.1,23.1,599000
2023-06-14 07:00:00,23.14,23.25,23.03,23.1,564900
2023-06-15 07:00:00,23.03,23.14,22.99,23.1,738300
2023-06-16 07:00:00,23.14,23.17,22.92,23.06,631200
2023-06-19 07:00:00,23.1,23.17,23.03,23.06,608900
2023-06-20 07:00:00,23.06,23.14,23.03,23.1,715500
2023-06-21 07:00:00,23.14,23.28,23.06,23.28,648900
2023-06-22 07:00:00,23.32,23.43,23.28,23.39,708300
2023-06-23 07:00:00,23.48,23.92,23.44,23.92,997100
2023-06-26 07:00:00,23.92,23.96,23.66,23.92,758100
2023-06-27 07:00:00,23.92,23.96,23.83,23.96,738800
2023-06-28 07:00:00,23.96,24.05,23.96,24.05,666300
2023-06-29 07:00:00,24.05,24.14,23.92,23.92,779100
2023-06-30 07:00:00,23.92,23.96,23.83,23.83,601700
2023-07-03 07:00:00,23.83,23.92,23.79,23.83,724200
2023-07-04 07:00:00,23.88,23.92,23.79,23.88,693500
2023-07-05 07:00:00,23.92,24.05,23.88,24.05,582100
2023-07-06 07:00:00,24.05,25.2,24.05,25.2,615700
2023-07-07 07:00:00,25.24,25.24,25.07,25.24,674700
2023-07-10 07:00:00,25.29,25.33,25.2,25.33,877700
2023-07-11 07:00:00,25.37,25.55,25.29,25.46,932400
2023-07-12 07:00:00,25.46,25.55,25.2,25.29,562300
2023-07-13 07:00:00,25.33,25.51,25.24,25.51,892400
2023-07-14 07:00:00,25.55,25.59,25.37,25.55,666800
2023-07-17 07:00:00,25.64,25.64,25.46,25.64,639100
2023-07-18 07:00:00,25.64,25.81,25.59,25.81,882200
2023-07-19 07:00:00,25.86,25.9,25.77,25.81,642500
2023-07-20 07:00:00,25.81,25.95,25.73,25.81,706700
2023-07-21 07:00:00,25.81,25.95,25.73,25.81,866000
2023-07-24 07:00:00,25.86,25.99,25.73,25.9,819900
2023-07-25 07:00:00,25.9,25.99,25.86,25.99,1010500
2023-07-26 07:00:00,25.99,26.08,25.95,26.08,1035900
2023-07-27 07:00:00,26.08,26.17,25.99,26.12,837100
2023-07-28 07:00:00,26.12,26.21,25.99,26.17,1067700
2023-07-31 07:00:00,26.21,26.39,25.68,25.68,1397900
2023-08-01 07:00:00,25.73,26.39,25.73,26.39,1360600
2023-08-02 07:00:00,26.34,26.65,26.3,26.65,2962500
2023-08-03 07:00:00,26.7,26.74,26.52,26.65,1007800
2023-08-04 07:00:00,26.7,27.58,25.55,25.55,5277700
2023-08-07 07:00:00,25.64,26.65,25.64,26.65,1557500
2023-08-08 07:00:00,26.43,26.78,25.9,26.7,3616100
2023-08-09 07:00:00,26.7,26.83,25.99,26.43,1336700
2023-08-10 07:00:00,26.48,26.52,25.81,26.43,1210600
2023-08-11 07:00:00,26.43,26.78,26.08,26.78,2872700
2023-08-14 07:00:00,26.83,26.83,25.24,26.21,1056600
2023-08-15 07:00:00,25.99,25.99,25.37,25.99,937900
2023-08-16 07:00:00,25.81,26.04,25.33,25.99,1029300
2023-08-17 07:00:00,25.37,25.9,25.37,25.9,1255400
2023-08-18 07:00:00,25.81,25.81,24.1,24.19,1079800
2023-08-21 07:00:00,24.27,24.76,23.44,23.44,1041000
2023-08-22 07:00:00,23.66,24.85,23.66,24.85,1193500
2023-08-23 07:00:00,24.93,24.93,23.13,24.85,1232900
2023-08-24 07:00:00,24.85,25.07,23.79,25.07,1145300
2023-08-25 07:00:00,24.41,25.07,24.1,24.85,874200
2023-08-28 07:00:00,24.85,24.93,24.19,24.93,1119000
2023-08-29 07:00:00,24.93,24.98,24.27,24.98,1749800
2023-08-30 07:00:00,24.98,25.02,24.36,24.76,1416400
2023-08-31 07:00:00,24.49,24.85,24.19,24.76,1484200
2023-09-05 07:00:00,24.76,24.85,24.23,24.23,1408600
2023-09-06 07:00:00,24.23,24.54,23.79,24.49,1317100
2023-09-07 07:00:00,24.32,24.45,24.01,24.19,1525300
2023-09-08 07:00:00,24.1,24.45,24.05,24.23,1274600
2023-09-11 07:00:00,24.27,24.27,23.7,23.79,1577800
2023-09-12 07:00:00,23.79,24.23,23.52,24.1,1260400
