time,open,high,low,close,volume
2023-01-03 07:00:00,10.06,10.56,10.06,10.56,2386500
2023-01-04 07:00:00,10.61,10.83,10.51,10.56,2527100
2023-01-05 07:00:00,10.56,10.69,10.53,10.67,1760900
2023-01-06 07:00:00,10.72,11.06,10.61,10.93,5142600
2023-01-09 07:00:00,11.04,11.49,11.04,11.22,4565900
2023-01-10 07:00:00,11.25,11.36,11.06,11.22,3781600
2023-01-11 07:00:00,11.41,11.41,11.25,11.25,4154100
2023-01-12 07:00:00,11.22,11.65,11.22,11.57,4931600
2023-01-13 07:00:00,11.78,11.99,11.62,11.7,6249900
2023-01-16 07:00:00,11.81,11.89,11.7,11.83,2579100
2023-01-17 07:00:00,11.81,12.15,11.81,12.15,3424600
2023-01-18 07:00:00,12.29,12.31,12.1,12.15,3544300
2023-01-19 07:00:00,11.99,12.18,11.97,12.15,4654000
2023-01-27 07:00:00,12.36,12.47,12.26,12.39,3768100
2023-01-30 07:00:00,12.44,12.5,12.23,12.23,4444500
2023-01-31 07:00:00,12.21,12.5,11.99,12.5,7272500
2023-02-01 07:00:00,12.71,12.95,12.42,12.52,8391300
2023-02-02 07:00:00,12.52,12.68,12.36,12.52,4362300
2023-02-03 07:00:00,12.63,12.9,12.5,12.9,4288000
2023-02-06 07:00:00,12.63,12.79,12.5,12.55,3213900
2023-02-07 07:00:00,12.68,12.68,12.15,12.23,3715300
2023-02-08 07:00:00,12.21,12.44,12.15,12.31,2420800
2023-02-09 07:00:00,12.4,12.42,12.17,12.2,1773800
2023-02-10 07:00:00,12.2,12.28,11.59,11.65,3334000
2023-02-13 07:00:00,11.37,11.65,11.09,11.2,3844100
2023-02-14 07:00:00,11.34,11.54,11.26,11.37,1270100
2023-02-15 07:00:00,11.37,11.65,11.23,11.48,3332100
2023-02-16 07:00:00,11.59,11.67,11.48,11.59,2126100
2023-02-17 07:00:00,11.7,11.92,11.65,11.92,3786200
2023-02-20 07:00:00,11.9,12.2,11.87,12.2,3972500
2023-02-21 07:00:00,12.34,12.42,12.09,12.09,3183000
2023-02-22 07:00:00,11.92,12.03,11.65,11.65,3325600
2023-02-23 07:00:00,11.67,11.92,11.48,11.92,3097500
2023-02-24 07:00:00,11.9,12.03,11.65,11.65,1443600
2023-02-27 07:00:00,11.48,11.76,11.4,11.4,2071000
2023-02-28 07:00:00,11.48,11.59,11.34,11.4,1348100
2023-03-01 07:00:00,11.4,11.7,11.26,11.7,2472900
2023-03-02 07:00:00,11.67,11.79,11.59,11.65,1234800
2023-03-03 07:00:00,11.7,11.73,11.45,11.45,1333600
2023-03-06 07:00:00,11.54,11.67,11.42,11.42,1985300
2023-03-07 07:00:00,11.59,11.65,11.4,11.42,1914900
2023-03-08 07:00:00,11.4,11.51,11.29,11.48,2688600
2023-03-09 07:00:00,11.59,11.84,11.54,11.76,4209700
2023-03-10 07:00:00,11.62,11.7,11.48,11.62,2337300
2023-03-13 07:00:00,11.48,11.56,11.42,11.48,3069900
2023-03-14 07:00:00,11.45,11.54,11.17,11.23,2489300
2023-03-15 07:00:00,11.45,11.87,11.42,11.87,7400900
2023-03-16 07:00:00,11.81,11.81,11.54,11.59,3550700
2023-03-17 07:00:00,11.79,11.79,11.59,11.62,2763200
2023-03-20 07:00:00,11.62,11.79,11.4,11.4,5064900
2023-03-21 07:00:00,11.59,11.59,11.31,11.51,2879600
2023-03-22 07:00:00,11.59,11.59,11.45,11.48,2169700
2023-03-23 07:00:00,11.42,11.48,11.31,11.45,3273300
2023-03-24 07:00:00,11.54,11.7,11.51,11.62,5705400
2023-03-27 07:00:00,11.65,11.73,11.59,11.7,4952000
2023-03-28 07:00:00,11.79,11.92,11.73,11.73,6886900
2023-03-29 07:00:00,11.76,11.9,11.7,11.79,5015200
2023-03-30 07:00:00,11.9,12.03,11.84,11.84,5388000
2023-03-31 07:00:00,11.9,11.95,11.79,11.87,6044200
2023-04-03 07:00:00,12.03,12.09,11.95,12.03,6201200
2023-04-04 07:00:00,12.06,12.37,12.01,12.26,7571200
2023-04-05 07:00:00,12.26,12.28,12.15,12.17,5630800
2023-04-06 07:00:00,12.2,12.26,11.92,11.92,6176600
2023-04-07 07:00:00,11.89,12.0,11.8,11.86,3902600
2023-04-10 07:00:00,11.97,12.06,11.8,11.86,4672900
2023-04-11 07:00:00,11.86,11.97,11.8,11.97,4240400
2023-04-12 07:00:00,12.03,12.2,11.97,12.09,4787800
2023-04-13 07:00:00,12.12,12.12,11.92,12.0,3205900
2023-04-14 07:00:00,12.0,12.17,11.8,11.8,5005300
2023-04-17 07:00:00,11.8,11.86,11.72,11.72,2123600
2023-04-18 07:00:00,11.8,11.8,11.69,11.72,1923500
2023-04-19 07:00:00,11.75,11.83,11.58,11.61,3179500
2023-04-20 07:00:00,11.58,11.63,11.55,11.58,2254700
2023-04-21 07:00:00,11.61,11.69,11.44,11.44,3355800
2023-04-24 07:00:00,11.49,11.63,11.44,11.52,3896100
2023-04-25 07:00:00,11.55,11.61,11.32,11.35,2807100
2023-04-26 07:00:00,11.44,11.61,11.35,11.61,2819200
2023-04-27 07:00:00,11.61,11.61,11.49,11.49,1895500
2023-04-28 07:00:00,11.55,11.63,11.49,11.63,4237100
2023-05-04 07:00:00,11.63,11.63,11.46,11.46,2239800
2023-05-05 07:00:00,11.55,11.55,11.44,11.44,2400400
2023-05-08 07:00:00,11.46,11.58,11.44,11.55,4571100
2023-05-09 07:00:00,11.61,11.61,11.46,11.49,1754500
2023-05-10 07:00:00,11.52,11.75,11.46,11.72,6172700
2023-05-11 07:00:00,11.75,11.83,11.63,11.66,3478400
2023-05-12 07:00:00,11.72,11.75,11.58,11.63,4439100
2023-05-15 07:00:00,11.69,12.0,11.66,11.83,10348900
2023-05-16 07:00:00,11.89,12.0,11.78,11.86,6169600
2023-05-17 07:00:00,11.8,11.92,11.8,11.8,5670400
2023-05-18 07:00:00,11.8,12.29,11.78,12.17,10803300
2023-05-19 07:00:00,12.2,12.23,12.06,12.14,4445400
2023-05-22 07:00:00,12.23,12.32,12.14,12.26,4761800
2023-05-23 07:00:00,12.26,12.32,12.0,12.09,5636500
2023-05-24 07:00:00,12.17,12.17,11.92,11.92,5366900
2023-05-25 07:00:00,11.89,11.95,11.83,11.86,3309900
2023-05-26 07:00:00,11.89,11.97,11.83,11.95,2404300
2023-05-29 07:00:00,12.03,12.09,11.92,12.09,3875800
2023-05-30 07:00:00,12.12,12.14,12.03,12.09,3850400
2023-05-31 07:00:00,12.09,12.34,12.09,12.14,6502900
2023-06-01 07:00:00,12.14,12.26,12.09,12.23,4251200
2023-06-02 07:00:00,12.43,13.08,12.43,13.08,21473100
2023-06-05 07:00:00,13.39,13.39,13.05,13.17,8326700
2023-06-06 07:00:00,13.17,13.39,13.11,13.39,9666600
2023-06-07 07:00:00,13.39,13.42,13.22,13.39,7241900
2023-06-08 07:00:00,13.39,13.42,12.97,12.97,14234800
2023-06-09 07:00:00,13.02,13.39,12.91,13.28,11068900
2023-06-12 07:00:00,13.31,13.42,13.0,13.34,5712200
2023-06-13 07:00:00,13.34,13.39,13.17,13.28,5855200
